DAYANAK VARLIK,BIST 100 ENDEKS,BIST 30 ENDEKS
AEFES,1,0
AKBNK,1,1
AKSEN,1,0
ALARK,1,1
ARCLK,1,0
ASELS,1,1
ASTOR,1,1
BIMAS,1,1
BRSAN,1,0
CIMSA,1,0
DOAS,1,1
DOHOL,1,0
EKGYO,1,1
ENJSA,1,0
ENKAI,1,1
EREGL,1,1
FROTO,1,1
GARAN,1,1
GUBRF,1,0
HALKB,1,0
HEKTS,1,1
ISCTR,1,1
KCHOL,1,1
KONTR,1,1
KOZAA,1,0
KOZAL,1,1
KRDMD,1,1
MGROS,1,1
ODAS,1,0
OYAKC,1,0
PETKM,1,1
PGSUS,1,1
SAHOL,1,1
SASA,1,1
SISE,1,1
SOKM,1,0
TAVHL,1,0
TCELL,1,1
THYAO,1,1
TKFEN,1,0
TOASO,1,1
TSKB,1,0
TTKOM,1,1
TUPRS,1,1
VAKBN,1,0
VESTL,1,0
YKBNK,1,1
